,food_type,temperature,hours_already_spent,risk
491,Fried items,refrigerated temperature,5.68,low
492,Dal/lentils,room temperature(more than 25 C),0.26,high
493,Gravy-based veg curries,cool temperature(approx. 18 C),4.49,high
494,Gravy-based veg curries,room temperature(more than 25 C),6.94,very high
495,Fried items,cool temperature(approx. 18 C),7.96,low
496,Dairy-based curries,room temperature(more than 25 C),3.36,very high
497,Sweets,refrigerated temperature,1.38,low
498,Non-veg curries,refrigerated temperature,10.09,low
499,Fried items,cool temperature(approx. 18 C),2.38,low
500,Gravy-based veg curries,cool temperature(approx. 18 C),9.91,very high
501,Dal/lentils,room temperature(more than 25 C),11.45,very high
502,Sweets,refrigerated temperature,10.05,low
503,Dry vegetable dishes,cool temperature(approx. 18 C),3.08,low
504,Dry vegetable dishes,refrigerated temperature,6.56,low
505,Sweets,cool temperature(approx. 18 C),3.11,low
506,Non-veg curries,room temperature(more than 25 C),8.0,very high
507,Sweets,cool temperature(approx. 18 C),1.08,low
508,Dal/lentils,refrigerated temperature,1.2,low
509,Fresh breads,room temperature(more than 25 C),7.06,very high
510,Fried items,cool temperature(approx. 18 C),2.79,low
511,Dal/lentils,refrigerated temperature,5.07,low
512,Dry vegetable dishes,cool temperature(approx. 18 C),7.15,medium
513,Sweets,refrigerated temperature,8.66,low
514,Dal/lentils,room temperature(more than 25 C),8.72,very high
515,Cooked rice dish,cool temperature(approx. 18 C),8.85,very high
516,Sweets,refrigerated temperature,6.09,low
517,Cooked rice dish,room temperature(more than 25 C),4.2,very high
518,Sweets,room temperature(more than 25 C),10.85,very high
519,Dry vegetable dishes,cool temperature(approx. 18 C),3.59,low
520,Dal/lentils,room temperature(more than 25 C),9.79,very high
521,Sweets,room temperature(more than 25 C),3.03,very high
522,Fresh breads,refrigerated temperature,6.8,low
523,Dry vegetable dishes,room temperature(more than 25 C),9.7,very high
524,Sweets,refrigerated temperature,6.51,low
525,Dairy-based curries,refrigerated temperature,9.46,low
526,Cooked rice dish,room temperature(more than 25 C),8.06,very high
527,Dal/lentils,cool temperature(approx. 18 C),10.82,very high
528,Non-veg curries,room temperature(more than 25 C),10.86,very high
529,Sweets,refrigerated temperature,11.93,low
530,Sweets,room temperature(more than 25 C),2.89,high
531,Fried items,room temperature(more than 25 C),9.24,very high
532,Gravy-based veg curries,cool temperature(approx. 18 C),1.36,medium
533,Gravy-based veg curries,room temperature(more than 25 C),11.86,very high
534,Dry vegetable dishes,cool temperature(approx. 18 C),5.68,medium
535,Dal/lentils,refrigerated temperature,9.76,low
536,Sweets,refrigerated temperature,3.47,low
537,Cooked rice dish,cool temperature(approx. 18 C),11.46,very high
538,Gravy-based veg curries,room temperature(more than 25 C),6.07,very high
539,Dry vegetable dishes,refrigerated temperature,5.42,low
540,Non-veg curries,refrigerated temperature,0.93,low
541,Sweets,room temperature(more than 25 C),9.52,very high
542,Fried items,refrigerated temperature,10.98,low
543,Dairy-based curries,room temperature(more than 25 C),5.42,very high
544,Dal/lentils,room temperature(more than 25 C),3.12,very high
545,Sweets,cool temperature(approx. 18 C),2.56,low
546,Dry vegetable dishes,room temperature(more than 25 C),7.38,very high
547,Fried items,refrigerated temperature,5.29,low
548,Dry vegetable dishes,room temperature(more than 25 C),7.71,very high
549,Dairy-based curries,room temperature(more than 25 C),4.0,very high
550,Dry vegetable dishes,room temperature(more than 25 C),5.37,very high
551,Sweets,cool temperature(approx. 18 C),10.58,very high
552,Fried items,room temperature(more than 25 C),3.11,medium
553,Dry vegetable dishes,refrigerated temperature,1.29,low
554,Fresh breads,cool temperature(approx. 18 C),5.61,medium
555,Dry vegetable dishes,cool temperature(approx. 18 C),8.4,high
556,Fresh breads,room temperature(more than 25 C),9.1,very high
557,Sweets,refrigerated temperature,10.17,low
558,Sweets,cool temperature(approx. 18 C),8.39,high
559,Fried items,refrigerated temperature,9.23,low
560,Fresh breads,room temperature(more than 25 C),7.21,very high
561,Fried items,refrigerated temperature,1.5,low
562,Non-veg curries,cool temperature(approx. 18 C),6.84,very high
563,Fresh breads,refrigerated temperature,7.05,low
564,Sweets,cool temperature(approx. 18 C),11.28,very high
565,Dal/lentils,refrigerated temperature,3.59,low
566,Non-veg curries,room temperature(more than 25 C),10.01,very high
567,Dairy-based curries,refrigerated temperature,5.44,low
568,Dry vegetable dishes,cool temperature(approx. 18 C),6.48,medium
569,Dairy-based curries,cool temperature(approx. 18 C),11.39,very high
570,Dal/lentils,cool temperature(approx. 18 C),8.37,very high
571,Fresh breads,room temperature(more than 25 C),11.43,very high
572,Fresh breads,cool temperature(approx. 18 C),11.04,very high
573,Fresh breads,refrigerated temperature,5.58,low
574,Fresh breads,room temperature(more than 25 C),9.64,very high
575,Gravy-based veg curries,room temperature(more than 25 C),10.34,very high
576,Sweets,cool temperature(approx. 18 C),11.53,very high
577,Dairy-based curries,room temperature(more than 25 C),4.16,very high
578,Dry vegetable dishes,cool temperature(approx. 18 C),5.92,medium
579,Fried items,refrigerated temperature,10.51,low
580,Non-veg curries,room temperature(more than 25 C),9.66,very high
581,Sweets,refrigerated temperature,4.15,low
582,Fresh breads,refrigerated temperature,9.6,low
583,Fried items,room temperature(more than 25 C),4.97,high
584,Cooked rice dish,refrigerated temperature,0.46,low
585,Dal/lentils,room temperature(more than 25 C),10.26,very high
586,Cooked rice dish,room temperature(more than 25 C),9.09,very high
587,Fried items,refrigerated temperature,5.09,low
588,Gravy-based veg curries,refrigerated temperature,5.42,low
589,Fried items,refrigerated temperature,4.27,low
590,Sweets,room temperature(more than 25 C),8.88,very high
591,Sweets,room temperature(more than 25 C),4.13,very high
592,Gravy-based veg curries,room temperature(more than 25 C),2.72,very high
593,Non-veg curries,room temperature(more than 25 C),8.29,very high
594,Fried items,refrigerated temperature,1.43,low
595,Cooked rice dish,refrigerated temperature,4.98,low
596,Cooked rice dish,room temperature(more than 25 C),1.39,very high
597,Fried items,refrigerated temperature,2.37,low
598,Dal/lentils,room temperature(more than 25 C),1.45,high
599,Dairy-based curries,refrigerated temperature,11.75,low
600,Dairy-based curries,room temperature(more than 25 C),9.14,very high
601,Sweets,refrigerated temperature,8.47,low
602,Non-veg curries,cool temperature(approx. 18 C),8.25,very high
603,Dry vegetable dishes,cool temperature(approx. 18 C),1.42,low
604,Dry vegetable dishes,refrigerated temperature,10.96,low
605,Non-veg curries,room temperature(more than 25 C),9.38,very high
606,Dry vegetable dishes,refrigerated temperature,0.99,low
607,Dry vegetable dishes,cool temperature(approx. 18 C),1.03,low
608,Non-veg curries,cool temperature(approx. 18 C),5.92,very high
609,Dairy-based curries,cool temperature(approx. 18 C),3.31,very high
610,Cooked rice dish,refrigerated temperature,4.3,low
611,Fried items,refrigerated temperature,0.12,low
612,Dal/lentils,room temperature(more than 25 C),2.85,very high
613,Fresh breads,room temperature(more than 25 C),4.89,high
614,Non-veg curries,room temperature(more than 25 C),4.29,very high
615,Sweets,cool temperature(approx. 18 C),8.7,high
616,Gravy-based veg curries,cool temperature(approx. 18 C),2.97,medium
617,Fresh breads,refrigerated temperature,10.42,low
618,Non-veg curries,refrigerated temperature,2.19,low
619,Dry vegetable dishes,room temperature(more than 25 C),0.36,medium
620,Dairy-based curries,room temperature(more than 25 C),10.36,very high
621,Non-veg curries,cool temperature(approx. 18 C),10.99,very high
622,Sweets,cool temperature(approx. 18 C),1.66,low
623,Fried items,cool temperature(approx. 18 C),11.1,low
624,Cooked rice dish,room temperature(more than 25 C),9.34,very high
625,Cooked rice dish,cool temperature(approx. 18 C),5.14,very high
626,Gravy-based veg curries,refrigerated temperature,7.01,low
627,Cooked rice dish,refrigerated temperature,11.52,low
628,Dal/lentils,refrigerated temperature,9.77,low
629,Non-veg curries,room temperature(more than 25 C),9.48,very high
630,Fresh breads,refrigerated temperature,0.4,low
631,Dairy-based curries,cool temperature(approx. 18 C),8.91,very high
632,Gravy-based veg curries,room temperature(more than 25 C),6.01,very high
633,Fried items,refrigerated temperature,8.18,low
634,Gravy-based veg curries,room temperature(more than 25 C),11.14,very high
635,Fried items,refrigerated temperature,4.84,low
636,Non-veg curries,refrigerated temperature,0.99,low
637,Dal/lentils,refrigerated temperature,3.19,low
638,Gravy-based veg curries,cool temperature(approx. 18 C),2.39,medium
639,Non-veg curries,room temperature(more than 25 C),9.67,very high
640,Sweets,room temperature(more than 25 C),3.75,very high
641,Fresh breads,refrigerated temperature,2.53,low
642,Non-veg curries,refrigerated temperature,2.34,low
643,Gravy-based veg curries,cool temperature(approx. 18 C),5.39,high
644,Cooked rice dish,cool temperature(approx. 18 C),9.73,very high
645,Fried items,refrigerated temperature,2.54,low
646,Dal/lentils,room temperature(more than 25 C),10.42,very high
647,Dal/lentils,room temperature(more than 25 C),5.3,very high
648,Fresh breads,cool temperature(approx. 18 C),0.55,low
649,Cooked rice dish,refrigerated temperature,8.11,low
650,Gravy-based veg curries,room temperature(more than 25 C),6.64,very high
651,Sweets,room temperature(more than 25 C),8.52,very high
652,Cooked rice dish,cool temperature(approx. 18 C),9.47,very high
653,Dal/lentils,room temperature(more than 25 C),11.21,very high
654,Dal/lentils,room temperature(more than 25 C),7.25,very high
655,Non-veg curries,refrigerated temperature,8.92,low
656,Non-veg curries,refrigerated temperature,10.07,low
657,Non-veg curries,cool temperature(approx. 18 C),11.85,very high
658,Gravy-based veg curries,refrigerated temperature,4.67,low
659,Sweets,cool temperature(approx. 18 C),1.21,low
660,Cooked rice dish,refrigerated temperature,9.96,low
661,Non-veg curries,refrigerated temperature,5.04,low
662,Fresh breads,room temperature(more than 25 C),7.76,very high
663,Fresh breads,room temperature(more than 25 C),2.28,medium
664,Dairy-based curries,cool temperature(approx. 18 C),8.81,very high
665,Gravy-based veg curries,refrigerated temperature,4.92,low
666,Dry vegetable dishes,room temperature(more than 25 C),0.75,medium
667,Dal/lentils,refrigerated temperature,10.29,low
668,Fried items,cool temperature(approx. 18 C),10.29,low
669,Fried items,room temperature(more than 25 C),2.82,medium
670,Non-veg curries,cool temperature(approx. 18 C),4.45,very high
671,Sweets,refrigerated temperature,7.38,low
672,Dal/lentils,room temperature(more than 25 C),11.36,very high
673,Cooked rice dish,room temperature(more than 25 C),2.25,very high
674,Non-veg curries,room temperature(more than 25 C),4.43,very high
675,Non-veg curries,refrigerated temperature,10.77,low
676,Dairy-based curries,room temperature(more than 25 C),5.11,very high
677,Sweets,refrigerated temperature,6.32,low
678,Dal/lentils,room temperature(more than 25 C),9.03,very high
679,Fresh breads,cool temperature(approx. 18 C),6.21,medium
680,Fried items,cool temperature(approx. 18 C),8.24,low
681,Non-veg curries,refrigerated temperature,2.46,low
682,Dairy-based curries,refrigerated temperature,6.56,low
683,Dairy-based curries,cool temperature(approx. 18 C),1.69,high
684,Cooked rice dish,refrigerated temperature,9.36,low
685,Sweets,room temperature(more than 25 C),3.94,very high
686,Fried items,refrigerated temperature,5.43,low
687,Dal/lentils,room temperature(more than 25 C),2.53,very high
688,Gravy-based veg curries,room temperature(more than 25 C),1.96,high
689,Cooked rice dish,room temperature(more than 25 C),5.25,very high
690,Non-veg curries,refrigerated temperature,0.25,low
691,Dry vegetable dishes,room temperature(more than 25 C),2.53,high
692,Gravy-based veg curries,refrigerated temperature,11.46,low
693,Fried items,room temperature(more than 25 C),11.05,very high
694,Cooked rice dish,cool temperature(approx. 18 C),4.76,very high
695,Dairy-based curries,cool temperature(approx. 18 C),11.25,very high
696,Dairy-based curries,room temperature(more than 25 C),6.91,very high
697,Fresh breads,cool temperature(approx. 18 C),11.89,very high
698,Gravy-based veg curries,refrigerated temperature,5.83,low
699,Dairy-based curries,room temperature(more than 25 C),8.23,very high
700,Gravy-based veg curries,room temperature(more than 25 C),5.52,very high
701,Gravy-based veg curries,refrigerated temperature,11.07,low
702,Fried items,room temperature(more than 25 C),9.73,very high
703,Fried items,cool temperature(approx. 18 C),4.56,low
704,Gravy-based veg curries,cool temperature(approx. 18 C),3.83,medium
705,Gravy-based veg curries,room temperature(more than 25 C),4.3,very high
706,Gravy-based veg curries,room temperature(more than 25 C),0.5,high
707,Sweets,cool temperature(approx. 18 C),9.15,high
708,Gravy-based veg curries,room temperature(more than 25 C),9.75,very high
709,Non-veg curries,room temperature(more than 25 C),5.67,very high
710,Non-veg curries,cool temperature(approx. 18 C),0.61,high
711,Fried items,cool temperature(approx. 18 C),7.06,low
712,Dairy-based curries,refrigerated temperature,9.39,low
713,Cooked rice dish,cool temperature(approx. 18 C),1.1,high
714,Fried items,refrigerated temperature,1.13,low
715,Dal/lentils,cool temperature(approx. 18 C),6.3,very high
716,Fried items,cool temperature(approx. 18 C),10.61,low
717,Fresh breads,refrigerated temperature,1.21,low
718,Gravy-based veg curries,room temperature(more than 25 C),2.92,very high
719,Sweets,refrigerated temperature,2.62,low
720,Sweets,refrigerated temperature,2.19,low
721,Dal/lentils,cool temperature(approx. 18 C),4.02,high
722,Non-veg curries,cool temperature(approx. 18 C),2.34,very high
723,Non-veg curries,room temperature(more than 25 C),11.27,very high
724,Non-veg curries,room temperature(more than 25 C),0.17,very high
725,Fresh breads,cool temperature(approx. 18 C),8.92,high
726,Non-veg curries,cool temperature(approx. 18 C),5.15,very high
727,Dry vegetable dishes,refrigerated temperature,7.72,low
728,Dry vegetable dishes,room temperature(more than 25 C),0.83,medium
729,Cooked rice dish,cool temperature(approx. 18 C),8.59,very high
730,Fresh breads,refrigerated temperature,6.98,low
731,Dairy-based curries,refrigerated temperature,8.27,low
732,Dairy-based curries,cool temperature(approx. 18 C),1.63,high
733,Fresh breads,cool temperature(approx. 18 C),10.82,very high
